	text	emotions
2186	I can not believe it took me 3 weeks to lose just 1 pound!	[0, 0, 0, 1, 0, 0]
2187	"Hi,
""Morbidity"" should read ""mortality"" instead."	[0, 0, 0, 0, 0, 1]
2188	But I came home with one and left one there.	[0, 0, 0, 0, 0, 0]
2189	There was a very comfortable sling that my arm just laid in out towards my side.	[0, 0, 0, 0, 0, 0]
2190	I had decided, and even have scheduled, robotic surgery at a hospital and with a surgeon about 60+ miles north of my home.	[0, 0, 0, 0, 0, 0]
2191	There is just me.......and a grandson with an extremely rare bone cancer ( we were told he's the 13th to be diagnosed with it....ever....worldwide).	[0, 0, 0, 0, 1, 0]
2192	my wife was dx with 3b non operable(after the dodos in corpus operated an broke 3 ribs)in nov 09(happy thanksgiving) I was In touch with MDA houston with the 1st scan of a shadow and by the time we got to MDA we had little hope.	[0, 0, 0, 0, 1, 0]
2193	Go easy on yourself and enlist help anywhere you can.	[0, 0, 0, 0, 0, 0]
2194	On the chemo the liver tumor grew 15% in 45 days versus 25% in 20days before we started the chemo.	[0, 0, 0, 0, 0, 1]
2195	Simon I am sure, will make your Birthday - memorable.	[0, 0, 0, 0, 0, 0]
2196	Pray that your Dad and your family have the strength to get through this.	[0, 0, 0, 0, 0, 0]
2197	It's unfortunately not such a fun topic to come to a chat site and talk about.	[0, 0, 0, 0, 1, 0]
2198	I am only 57 and have a whole lot of living I still want to do.	[0, 0, 0, 0, 0, 0]
2199	Hubby would have asked me IF I had hurt the steps LOL.	[0, 0, 0, 0, 0, 0]
2200	I'm sorry that you are feeling so afraid and alone right now.	[0, 0, 0, 0, 1, 0]
2201	Post surgical pathology report reveal post margins, one regional lymph node involvement.	[0, 0, 0, 0, 0, 0]
2202	I also was horribly upset about losing my hair.	[0, 0, 0, 0, 1, 0]
2203	If you get a second opinion, this doctor has to accept the fact that there is a positive lymphnode.	[0, 0, 0, 0, 0, 0]
2204	Had my left stripped 15 years ago and now 50.	[0, 0, 0, 0, 0, 0]
2205	PBJ - likewise, all the best to you.I will definitely post my results - they should be available late next week.Fingers crossed for you and everyone else.	[0, 0, 0, 0, 0, 0]
2206	Sorry to hear about your recent diagnosis.	[0, 0, 0, 0, 1, 0]
2207	Any update on your wife's condition?	[0, 0, 0, 0, 0, 0]
2208	Also, <PERSON> (the old original capsules) can really know you out too.	[0, 0, 0, 0, 0, 0]
2209	I am here in US and really really miss her every minute.	[0, 0, 0, 0, 0, 0]
2210	My diet and supplements are to boost my immune system.	[0, 0, 0, 0, 0, 0]
2211	My husband's cancer spread to his right lung, but he doesn't cough.	[0, 0, 0, 0, 1, 0]
2212	I had a left mastectomy 2 years ago (Stage 0 DCIS) with no chemo or radiation afterwards.	[0, 0, 0, 0, 0, 0]
2213	I was told no blood pressures or draws on that side.	[0, 0, 0, 0, 0, 0]
2214	Doesn't mean you have to use them right away but they can provide information that can help you make that decision.	[0, 0, 0, 0, 0, 0]
2215	I am right there with you holding your hand!	[0, 0, 0, 0, 0, 0]
2216	I just want to see me mom up and moving, just a little each day.	[0, 0, 0, 0, 0, 0]
2217	We went throughour diagnostics yesterday.	[0, 0, 0, 0, 1, 0]
2218	We were shocked to find out he had three tumors on his brain that they could see and three tumors on his lung.	[0, 0, 0, 0, 0, 0]
2219	Don't know what is going on there.	[0, 0, 0, 1, 0, 0]
2220	The spring before diagnosis I coughed too much and got pneumonia so I couldn't race walk.	[0, 0, 0, 0, 0, 0]
2221	My friends are still in IL but at least an hour away.	[0, 0, 0, 0, 0, 0]
2222	I'm no help as I'm not on either.	[0, 0, 0, 0, 0, 0]
2223	I am here and out of treatment for 6 years and soon to be 7 years this may.	[0, 0, 0, 0, 0, 0]
2224	...I had a nerve sparing rrp about a year and a half ago...at age 56...It took a year before I started getting the erectile function back ... once it started returning I used viagra for a while to help it along ... and now I find I don't need viagra any longer ... which makes me very happy with the outcome...everyone is different...so its not possible to predict any individual response....but this was my experience...	[0, 0, 0, 0, 0, 0]
2225	My wife has lung cancer and is having a lot of trouble with the chemo.	[0, 0, 0, 0, 1, 0]
2226	I meet very few people who've had a tumor as large as mine.	[0, 0, 0, 0, 1, 0]
2227	She said they should order a CAT scan, which they did.	[0, 0, 0, 0, 0, 0]
2228	There are many ways of dealing with this cancer that you both should know before committing to anything.	[0, 0, 0, 0, 0, 0]
2229	I went for the implants and have some feeling post surgery 2 months on the right.	[0, 0, 0, 0, 1, 0]
2230	The swelling in her legs has gone down.	[0, 0, 0, 0, 0, 0]
2231	I know from your posts that your father is in critical condition continue your love for him and let him know he is in my thoughts.	[0, 0, 0, 0, 0, 0]
2232	Some here have seen activity that allowed them to continue active sex lives in as little as 1-2 months after surgery and some are 10-12 months out and still working on it.Your doc should have you on a rehab program.	[0, 0, 0, 0, 0, 0]
2233	Did you get your PET scan results <PERSON>?	[0, 0, 0, 0, 0, 0]
2234	That or the Oreo Cookie cake.	[0, 0, 0, 0, 0, 0]
2235	Mesothelioma is a type of  non-small cell lung cancer, although caused by exposure to asbestos as reinstones1 stated.	[0, 0, 0, 0, 1, 0]
2236	I'll be there for sure and bringing Coca Cola chocolate cake.	[0, 0, 0, 0, 0, 0]
2237	I have taken Advil which didn't help.	[0, 0, 0, 0, 1, 0]
2238	Show her what she has taught you about being there for each other.	[0, 0, 0, 0, 1, 0]
2239	Sure saves wear and tear of travel.	[0, 0, 0, 0, 0, 0]
2240	Best of luck and happy holiday, whichever you may celebrate.	[0, 0, 0, 0, 0, 0]
2241	Have you been on the OncTalk or GRACE forums?	[0, 0, 0, 0, 0, 0]
2242	Now, 19 months later and having recently grown significantly, I do have strange but tolerable pains in the liver.	[0, 0, 0, 0, 1, 0]
2243	Now I am on <PERSON> w/<PERSON> and since I am having it each week the Neulasta shot is not given.	[0, 0, 0, 0, 0, 0]
2244	Trew...cannot worry about all of the jerks in the world...I had some neighbor the other day (age 54) after giving me his condolences told me that he would never have cancer because his mother did not...I hope he is right but not much of a rationale ..I did smile when he told me that...	[0, 0, 0, 0, 0, 0]
2245	It is what it is and I will deal with it good or bad...I am already compiling a list of calls mostly to <PERSON> to get my itinerary together for the next run........I will keep you informed as I go , and again, thank you both......<PERSON>	[0, 0, 0, 0, 1, 0]
2246	Read my expression for more.All the best to you.	[0, 0, 0, 0, 0, 0]
2247	"Some day in some way he will pay for the way he has treated you.We are here for you
Jadie<3"	[0, 0, 0, 0, 0, 0]
2248	it dont even seem like he's really gone.	[0, 0, 0, 0, 1, 0]
2249	I finally went back to my onocologist and ask him to help me.	[0, 0, 0, 0, 0, 0]
2250	There are many people here to support you.	[0, 0, 0, 0, 0, 0]
2251	Just a couple of nights ago I told <PERSON> that if I could do this all over again, I would skip  surgery and just do the radiaiton and shots.	[0, 0, 0, 0, 0, 0]
2252	Maybe some more recently diagnosed young survivors can share more.Your wife has an extremely difficult decision to make and a very unfair, crappy diagnosis.	[0, 0, 0, 0, 0, 0]
2253	   I was seen at  sloan kettering  today    18  months  post op  open  rps   gleason  7  3+4   psa  13.7     Psa remains undectable 0.05     no pads  and still use viagra  but I dont need to  at 15  months  I think  nerves  started to recover  ,            best wishes  to everyone                    I am  going to toast my Dr  with  a cold beer	[0, 0, 0, 0, 0, 0]
2254	As I recogized all the names, yes, even <PERSON>, I could visualize the service.	[0, 0, 0, 0, 0, 0]
2255	I am much smaller then before.	[0, 0, 0, 0, 1, 0]
2256	When and where are they available?Denise	[0, 0, 0, 0, 0, 0]
2257	I hope you found a Dr. you trusted.	[0, 0, 0, 0, 0, 0]
2258	Maybe that's why I said what I said.	[0, 0, 0, 0, 0, 0]
2259	My first onc wanted me to do it every 2 weeks, but never told me why.	[0, 0, 0, 0, 1, 0]
2260	My dad has cancer..he also stopped 6 years ago and we found out in June that he has lung cancer - stage4.	[0, 0, 0, 0, 1, 0]
2261	I posted on your thread Kat, but, wanted you to see here how much we all admire you and are praying for you.	[0, 0, 0, 0, 0, 0]
2262	After Thier done chemo any how     Hope this helps I like to ramble got testicular cancer at 20-all I got left now.	[0, 0, 0, 0, 1, 0]
2263	Thank you, once I have my cath removed and my post op follow up, we will be researching a support group to get more info from.	[0, 0, 0, 0, 1, 0]
2264	I can't imagine what it was like when you got home ... and saw the blob on the couch ... waiting for you to get home and fix him dinner and take care of him.	[0, 0, 0, 0, 0, 1]
2265	My chemo was outpatient , three 9 hour days and then three weeks off and then continued again .	[0, 0, 0, 0, 1, 0]
2266	"His appetite is not there.he says ""he's feeling it this time"".He seems more worried to me now."	[0, 0, 0, 0, 1, 0]
2267	It went away a couple of weeks after the last treatment.	[0, 0, 0, 0, 0, 0]
2268	Come on guys what in the world is a hot flash?...the english definition of a flash refers to a sudden brief burst of bright light...what are you talking about with flash a lightening bolt or a bright idea or something?.	[0, 0, 0, 1, 0, 0]
2269	This is no longer an automatic death sentence.	[0, 0, 0, 0, 0, 0]
2270	I flew up to check on my dad 4 weeks ago.	[0, 0, 0, 0, 0, 0]
2271	I totally agree that the FDA, America Medical Association and various “non-profit” cancer groups are not doing us too many favors…At the end of the rainbow it is all about the almighty dollar not  us…It is tragic that we have to take the position of  “caveat emptor”…However, this cancer has 24 varieties and is deadly for many men with a fast and painful death too... Give often to the Prostate Cancer Foundation (the most active one out there for all of us with Prostate Cancers)…Best  to all	[0, 0, 0, 0, 0, 1]
2272	How's little <PERSON> doing?Vicki Sam	[0, 0, 0, 0, 0, 0]
2273	I ate lots of milkshakes with plastic spoon and all soft type foods (scramled eggs mac and cheese and lots of mashed potatoes) only water i could drink was spring water (no floride) regular water burnt bad.	[0, 0, 0, 0, 1, 0]
2274	He's a fighter, and his oncologist says that he has a very good prognosis as it was caught so very early.	[0, 0, 0, 0, 0, 1]
2275	About the change in sound, my cough is just weaker and sets off easier, not a different tone.	[0, 0, 0, 0, 0, 0]
2276	(VATS procedures for small nodules like yours are MUCH easier to recover from if you have to go that route).	[0, 0, 0, 0, 1, 0]
2277	I don't know anything about the Tarceva except what others have posted but it appears to have very good results.	[0, 0, 0, 0, 0, 0]
2278	to ensure that there is no damage to my right arm which is in good shape.	[0, 0, 0, 0, 0, 0]
2279	You can feel the energy after an hour or two.	[0, 0, 0, 0, 0, 0]
2280	I know how hard all of this is.Keep us posted..<PERSON>	[0, 0, 0, 0, 0, 0]
2281	After a 2 hour train ride, a 10 1/2 hour plane ride, and a 2 hour car ride, we are home.	[0, 0, 0, 0, 0, 0]
2282	My brain is in such turmoil I forgot to give the most important information.I am age 47, female & a non smoker, however I grew up and worked in family hotel so had extensive & quite extreme exposure to smoke from age of 6 !	[0, 0, 0, 0, 0, 1]
2283	I walk up to two miles and exercise a minimum of 3 times a week.	[0, 0, 0, 0, 0, 0]
2284	I will pray for you and any and everybody that has to deal with this.	[0, 0, 0, 0, 0, 0]
2285	I had a chemo two weeks ago and these past three days have been drained and just wanting to sleep.	[0, 0, 0, 0, 0, 0]
2286	I watched my mother die of breast cancer, and I watched everyone tell her how she ought to look at it.	[0, 0, 0, 0, 1, 1]
2287	jUST A QUESTION i KNOW SEVERAL PEOPLE THAT HAVE HAD VASECTOMY AND NOW HAVE PROSTATE CANCER I WAS WONDERING IF THERE COULD BE SOME CONECTION PLEASE IF YOU ARE IN THIS CATAGORY PLEASE COMMENT ITS MORE PERSONAL RESEARCH , ONCE AGAIN STAY DRY AND HEALTHY ,hAPPY EASTER TO ALL	[0, 0, 0, 0, 0, 0]
2288	Was that resected or is it still in the lung?	[0, 0, 0, 0, 0, 0]
2289	He used it for 3 days and now only uses it every other day or so.	[0, 0, 0, 0, 0, 0]
2290	My buddy means the world to me and if there's any hope at all, I need to hear about it.	[0, 0, 0, 0, 0, 0]
2291	In 2002, at age 62, I had non-small cell lung cancer metastasized to neighboring lymph nodes and the brain.	[0, 0, 0, 0, 1, 0]
2292	Stay strong....roseschild, sounds like you have been through a tough couple of years, I hope you are taking care of yourself along the way.	[0, 0, 0, 0, 0, 0]
2293	You are at the driver's seat and as my senior I respect you.Congratulations on the birth of your grandson.	[0, 0, 0, 0, 0, 0]
2294	: )    I am also about 3 weeks after a lumpectomy and lymph node removal.	[0, 0, 0, 0, 1, 0]
2295	That really does make a huge impact on how her journey will be.	[0, 0, 0, 0, 0, 0]
2296	Hoping you got some help for her already.	[0, 0, 1, 0, 0, 0]
2297	http://www.ncbi.nlm.nih.gov/pubmed/20592353Thanks for drawing my attention.VGama	[0, 0, 1, 0, 0, 0]
2298	Enjoy your vacation and thank you for sharing your story!	[0, 0, 1, 0, 0, 0]
2299	Your daughter and son-in-law are a very attractive couple.	[0, 0, 1, 0, 0, 0]
2300	It is nice to see some of you enjoying them.	[0, 0, 1, 0, 0, 0]
2301	Thank you for sharing yours.You are in my thoughts and prayers.<PERSON>	[0, 0, 1, 0, 0, 0]
2302	I have been encouraging ppl lately to watch the online Survivor Movie...and it has your name written all over it!	[0, 0, 1, 0, 0, 0]
2303	I just woke up and I'm 'Yet Again' Abandoned!.......Woohoooooo Let's party!!!!!!!!!!	[0, 0, 1, 0, 0, 0]
2304	You saying it took you about 10 months to feel yourself again was just what I needed to hear!	[0, 0, 1, 0, 0, 0]
2305	I can see the light at the end of the tunnel.	[0, 0, 1, 0, 0, 0]
2306	OH-yeah or i went to the Dr for mammo...ALL IS GOOD, no call back...reply GREAT you've come to the right place I found out in hind sight, a journal was helpful, though at the time I thought it was goofy.	[0, 0, 1, 0, 0, 0]
2307	The fun provides a break from the serious stuff.	[0, 0, 1, 0, 0, 0]
2308	Happy birthday to both of you very special ladies!	[0, 0, 1, 0, 0, 0]
2309	LOL ladies your all too funny, sorry I mentioned pac man thingy in my last post to someone yours is much better....stardust...lol	[0, 0, 1, 0, 0, 0]
2310	I thought of you as I read each line and I think it really explains what someone who is grieving truly needs from friends and loved one.Wishing you the best this holiday season.You are truly a beautiful and caring woman.<PERSON>	[0, 0, 1, 0, 0, 0]
2311	<PERSON>...thanks for passing it on!	[0, 0, 1, 0, 0, 0]
2312	Wishing you and your mom the very best.	[0, 0, 1, 0, 0, 0]
2313	Great news there wasn't any evidence of the cancer in pathology.	[0, 0, 1, 0, 0, 0]
2314	"Happy, happy birthday to you~ I hope your special day is filled with love, cake, ice cream and smiles!Hugs,
<PERSON>"	[0, 0, 1, 0, 0, 0]
2315	I'll be praying for all you lovely ladies.	[0, 0, 1, 0, 0, 0]
2316	I introduced him to my niece and they hit it off, feel in love and married.	[0, 0, 1, 0, 0, 0]
2317	Her and her family will continue to be in my prayers..	[0, 0, 1, 0, 0, 0]
2318	She is always by my side.She is a syberian husky.	[0, 0, 1, 0, 0, 0]
2319	"Hi 2ndBase
My wife asked me to inform you about Heating Pads."	[0, 0, 1, 0, 0, 0]
2320	She spent 16 days there and she was released on April 1 2009 at 8:30pm.	[0, 0, 1, 0, 0, 0]
2321	I have weighed about the same as I did in high school.	[0, 0, 1, 0, 0, 0]
2322	Good luck and if you have any questions, feel free to e-mail me here.	[0, 0, 1, 0, 0, 0]
2323	Congrats on completing your IMRT txs and welcome back!	[0, 0, 1, 0, 1, 1]
2324	Happy Birthday Moopy and <PERSON>, have an AWESOME day!	[0, 0, 1, 0, 0, 0]
2325	Good luck with your decision process.	[0, 0, 1, 0, 0, 0]
2326	"It was like, ""I went to heaven."""	[0, 0, 1, 0, 0, 0]
2327	That site is exactly what I was looking for.	[0, 0, 1, 0, 0, 0]
2328	You will be glad you came here, this site is filled with compassionate, caring, supportive, and knowledgeable women, along with a few men.	[0, 0, 1, 0, 0, 0]
2329	Maybe you could start with how he helped develop that trait in you.	[0, 0, 1, 0, 0, 0]
2330	Your energy will come back with time and some gentle exercising.	[0, 0, 1, 0, 0, 0]
2331	Your posts are always good for a laugh.	[0, 0, 1, 0, 0, 0]
2332	All I know is that my life has been extended and no recurrence of the high PSA.	[0, 0, 1, 0, 0, 0]
2333	I have no low t symptoms at this time.	[0, 0, 1, 0, 0, 0]
2334	I was able to perform my physical jobs duties when I returned to work, but did breathing exercises and took my time.	[0, 0, 1, 0, 0, 0]
2335	Sending positive thoughts and hugs to your way	[0, 0, 1, 0, 0, 0]
2336	You have certainly been on an amazing journey.	[0, 0, 1, 0, 0, 0]
2337	"And know that people will bump into people who have gone through this and think ""wow""."	[0, 0, 1, 0, 0, 0]
2338	Will be thinking strong positive thoughts your way.	[0, 0, 1, 0, 0, 0]
2339	Happy birthday hope you have the best day ever <PERSON>	[0, 0, 1, 0, 0, 0]
2340	That's news to shout about and so glad we can shout right along with you.	[0, 0, 1, 0, 0, 0]
2341	Sounds like you just got left hanging in the wind.	[0, 0, 1, 0, 0, 0]
2342	He knows he is going to live with the Lord.	[0, 0, 1, 0, 0, 0]
2343	<PERSON> you posted the correct address, it is a beautiful Website.	[0, 0, 1, 0, 0, 0]
2344	The doctors worked hard to get me well enough to go do all that other stuff.	[0, 0, 1, 0, 0, 0]
2345	I also had a chocolate facial, oh my!	[0, 0, 1, 0, 0, 0]
2346	It's a good thing it was a quiet Friday at work, and that my hubby's out of town so I have the house to myself and can just light my candle and meditate on what this all means.I was glad to read <PERSON>'s post about the funeral arrangements.	[0, 0, 1, 0, 1, 0]
2347	You'll be there soon and sporting about in your <PERSON> look!	[0, 0, 1, 0, 0, 0]
2348	Before you know it you will be celebrating 5, 10, 15 yrs.	[0, 0, 1, 0, 0, 0]
2349	Hope your day was special!Kind regards, <PERSON>	[0, 0, 1, 0, 0, 0]
2350	The cure word from the dr is very encouraging.	[0, 0, 1, 0, 0, 0]
2351	Could I get spoiled YES...LOL Love to all of you <PERSON>	[0, 0, 1, 0, 0, 0]
2352	Wishing you a Happy Birthday Lola!Leeza	[0, 0, 1, 0, 0, 0]
2353	Oh Kathi that is such wonderful news in regards to your daughter, and you girl flying without a net which since you have less cholesterol to carry around with you should be a breeze!	[0, 0, 1, 0, 0, 0]
2354	"Cheers to you and may you always be ""boring""!"	[0, 0, 1, 0, 0, 0]
2355	I am singing it to you Lola!	[0, 0, 1, 0, 0, 0]
2356	<PERSON>, Thanks for the update I am so happy for you.	[0, 0, 1, 0, 0, 0]
2357	"!Surgery pending to remove the little ******* :)
==========================================================A Special Shout Out to a few Kindred Spirits that refused to allow me to suffer in silence this past week ..Ines -- (<PERSON>), you mean more to me than I could ever express verbally -- Your light shines brightly, and I am happy to walk with you down any path, dear Friend.Victoria -- (<PERSON>, you are my ROCK, and my Sister from another Mother - Plain and Simple."	[0, 0, 1, 0, 0, 0]
2358	wow reading all about the natural stuff is interesting.	[0, 0, 1, 0, 0, 0]
2359	Congrats on all the good news!	[0, 0, 1, 1, 0, 0]
2360	His character, physical and emotional strength, positive attitude, kindness & willingness to give to others, passion for life, are what define him as a man, a husband, and a father.	[0, 0, 1, 0, 0, 0]
2361	Continue to be good to yourself.blessings!Kathy	[0, 0, 1, 0, 0, 0]
2362	Thank you all for sharing your remission and survival results.	[0, 0, 1, 0, 0, 0]
2363	Hi and <PERSON> bless you.I think <PERSON> hit it right on the head.Just focus on healing.Have as much sexual stimulation as you want.The more the better.I had mine removed at age 46 and that was 3 years ago.I am 100% normal and actually enjoy sex a whole lot better now.If the psa ever does rise at all I would recommend radiation immediately.I think your gonna be fine.Good luck.	[0, 0, 1, 0, 0, 0]
2364	Congratulations super happy for you enjoy your dance and apparently your swim with NED.♥  RE	[0, 0, 1, 0, 0, 0]
2365	Am home an progressing daily	[0, 0, 1, 0, 0, 0]
2366	"Thanks for sharing the good results, Lighter.PS to all:  a guy at Lymphoma asked, because of my photo, if I feel like a Godfather.I told him ""no, I just like pizza, wine, Ferraris, and Sophia Loren.max"	[0, 0, 1, 0, 0, 0]
2367	I am going to pass this along .. still laughing!	[0, 0, 1, 0, 0, 0]
2368	Just adding my good luck to you today!	[0, 0, 1, 0, 0, 0]
2369	Then I went out for Chinese food and now I'm relaxing at the computer.	[0, 0, 1, 0, 0, 0]
2370	Love the view outside of that window too!	[0, 0, 1, 0, 0, 0]
2371	Good luck with your treatments Tux!	[0, 0, 1, 0, 0, 0]
2372	all those stories of your dogs is why i love them.	[0, 0, 1, 0, 0, 0]
2373	It sounds like heaven on earth for you.	[0, 0, 1, 0, 0, 0]
2374	Thank you, same to you!Teresa	[0, 0, 1, 0, 0, 0]
2375	I am currently 4 months since my last chemo and getting compliments on my hair just about daily.	[0, 0, 1, 0, 0, 0]
2376	Now all of the lovelies are present and accounted for!	[0, 0, 1, 0, 0, 0]
2377	I am 15 days out from surgery with an appointment to see my urologist on Friday (tomorrow).	[0, 0, 1, 0, 0, 0]
2378	"By being diagnosed at this time in history , gives us the most important factor in the equasion for
succesful treatment...TIME...Medical science is progressing at a very rapid rate and who knows what will be descovered in the battle of the ""beast"" in the near future."	[0, 0, 1, 1, 0, 0]
2379	We will all party with you when you are done.	[0, 0, 1, 0, 0, 0]
2380	Lobsters and clams were delicious--my mom made a chocolate cream pie for dessert.	[0, 0, 1, 0, 0, 0]
2381	Congratulation on the fact without pads.	[0, 0, 1, 0, 0, 0]
2382	I thought this would help my a little.	[0, 0, 1, 0, 0, 0]
2383	Thanks for sharing your good news!lewvino	[0, 0, 1, 0, 0, 0]
2384	I love crowded dance floors!!	[0, 0, 1, 0, 0, 0]
2385	I'm bringing my world famous chocolate zucchini cake.	[0, 0, 1, 0, 0, 0]
2386	However, I ended up having a mastectomy of my left breast May 4, 2010.	[0, 0, 1, 0, 0, 0]
2387	By the way, his doc put in a sling during the procedure and I don't know if that had anything to do with his success, but he is pretty much dry.	[0, 0, 1, 0, 0, 0]
2388	i will post day 2 god bless luv peggy	[0, 0, 1, 0, 0, 0]
2389	If I can help in any way,<PERSON> here.	[0, 0, 1, 0, 0, 0]
2390	<PERSON> it's over and I hope it proves benign.	[0, 0, 1, 0, 0, 0]
2391	Plus, the fact that I write for a living means that I'm much more comfortable expressing my feelings in writing that in <PERSON>.	[0, 0, 1, 0, 0, 0]
2392	"Wishing you all the best in 2003.God Bless,
Kathy"	[0, 0, 1, 0, 0, 0]
2393	I'm hoping that my results will encourage others to not give up.	[0, 0, 1, 0, 0, 0]
2394	Happy Birthday Meena....So glad to hear from you.	[0, 0, 1, 0, 0, 0]
2395	to you BJ's mom :-) Celebrate!	[0, 0, 1, 0, 0, 0]
2396	There was no cancer on the left side.	[0, 0, 1, 0, 0, 0]
2397	there are none so wonderful as your own.	[0, 0, 1, 0, 0, 0]
2398	She's very weak and tired all the time.	[0, 0, 1, 0, 0, 0]
2399	<PERSON> @ Mickey Mouse Club!	[0, 0, 1, 0, 0, 0]
2400	Thanks for all your support.	[0, 0, 1, 0, 0, 0]
2401	Hoping you got to get out too Marsha.	[0, 0, 1, 0, 0, 0]
2402	You have had a lot of wonderful advice here.	[0, 0, 1, 0, 0, 0]
2403	I want to share my story with you and hope you will share with others.	[0, 0, 1, 0, 0, 0]
2404	Comes in a bag that has 12 individual snacks inside.	[0, 0, 1, 0, 0, 0]
2405	Plus it reminds me how sweet you were to pick it out for me.	[0, 0, 1, 0, 0, 0]
2406	A victory for you is a victory for us.	[0, 0, 1, 0, 0, 0]
2407	This is an awesome site with awesome women/men!	[0, 0, 1, 0, 0, 0]
2408	anyone have any success on systemic chemo ??	[0, 0, 1, 0, 0, 0]
2409	Together they can move mountains... or be insidiously evil.	[0, 0, 1, 0, 0, 0]
2410	Thank you all for the concern and for the most generous words.	[0, 0, 1, 0, 0, 0]
2411	 Congratulations catcon 49, no reason to feel guilty time to celebrate good for you...	[0, 0, 1, 0, 0, 0]
2412	And how wonderful that it initiated a conversation with someone special!	[0, 0, 1, 0, 0, 0]
2413	I joined a wonderful support group which has helped me get through a lot.	[0, 0, 1, 0, 0, 0]
2414	Great news and I always want to hear great news, as it gives me hope.	[0, 0, 1, 0, 0, 0]
2415	Please feel free to visit my blog to learn more about his alternative treatments.	[0, 0, 1, 0, 0, 0]
2416	THANK YOU SO VERYMUCH .WE THAT IS DOLORES & MATRIN NEED ALL YOUR HELP,IN TURN OUR HELP WILL BE DOUBLE.lOVE YOU.	[0, 0, 1, 0, 0, 0]
2417	Wishing all of you a Happy New Year!Debby	[0, 0, 1, 0, 0, 0]
2418	It's good to hear some good news for a change!	[0, 0, 1, 0, 0, 0]
2419	"Woo hoo!Good luck on the condo for your daughter.xoxo,
Jean"	[0, 0, 1, 0, 0, 0]
2420	Wishing you all the luck and faith there is.	[0, 0, 1, 0, 0, 0]
2421	"HAPPY BIRTHDAY TO YOU
HAPPY BIRTHDAY TO YOU
HAPPY BIRTHDAY DEAR FILI & PATTI
HAPPY BIRTHDAY TO YOU!!"	[0, 0, 1, 0, 0, 0]
2422	This is an excellent site - thanks so much for sharing it with us all	[0, 0, 1, 0, 0, 0]
2423	Thank you all for responding to my happy message.	[0, 0, 1, 0, 0, 0]
2424	Sounds like you pooch was taking care of his family!	[0, 0, 1, 0, 0, 0]
2425	The magic mouthwash is GREAT for the mouth sores!!!	[0, 0, 1, 0, 0, 0]
2426	Your attitude is amazing and, for me, very contagious.	[0, 0, 1, 1, 0, 0]
2427	The results were left side negative, left side atypia hyperplasia.	[0, 0, 1, 0, 0, 0]
2428	Happy Birthday Jadie--Hope it was a nice one.	[0, 0, 1, 0, 0, 0]
2429	"He also ""rubs"" with his finger tips at the covers or even my arm or leg if he is holding me."	[0, 0, 1, 0, 0, 0]
2430	He's keeping me on it for about 6 months and I couldn't be happier.	[0, 0, 1, 0, 0, 0]
2431	wow so great to hear you are feeling well.	[0, 0, 1, 0, 0, 0]
2432	Wonderful that you were able to make to Cayden's birthday party!	[0, 0, 1, 0, 0, 0]
2433	  Happy to hear the  good  news ,    Many more  <PERSON> ,,   and  glad  we boyh  share the same  Dr ,   it is always  a pleasure to hear from  you           continued   good health          joe	[0, 0, 1, 0, 0, 0]
2434	Congrats on your good news!	[0, 0, 1, 0, 0, 0]
2435	It is also recommended to have a mastectomy with BRCA, so thank God I didn't give into the pressure to get a lumpectomy!	[0, 0, 1, 0, 0, 0]
2436	He was very concerned and very helpful getting us all the info that we needed.I was told today that my margins were good, the sutures are all healing well and the cath was revmoved without an issue.	[0, 0, 1, 0, 0, 0]
2437	I worked all the way through my radiation.	[0, 0, 1, 0, 0, 0]
2438	Your grandchildren are lucky to have you and I know  the future holds only good things.	[0, 0, 1, 0, 0, 0]
2439	I am glad you have the miralax as it is really needed.	[0, 0, 1, 0, 0, 0]
2440	They really enjoyed wearing silk scarves though.	[0, 0, 1, 0, 0, 0]
2441	I only wish I could tell the world how amazing she is.	[0, 0, 1, 0, 0, 0]
2442	Thanks for sharing your GOOD news with us!!	[0, 0, 1, 1, 0, 0]
2443	Love your profile picture at your daughter's wedding.	[0, 0, 1, 0, 0, 0]
2444	There is much good info here.	[0, 0, 1, 0, 0, 0]
2445	Please offer hope, we would like to hear from anyone that has survived this.	[0, 0, 1, 0, 0, 0]
2446	I didn't get very sick or tired from it at all.	[0, 0, 1, 0, 0, 0]
2447	RE, I am sending you lots of luck and lots of prayers!	[0, 0, 1, 0, 0, 0]
2448	good luck a good wife is a great start	[0, 0, 1, 0, 0, 0]
2449	Just kidding.Take care of yourself.P	[0, 0, 1, 0, 0, 0]
2450	I have already found comfort in the posts I have received.	[0, 0, 1, 0, 0, 0]
2451	I'm glad you're feeling better and hopefully that headache will completely disappear!	[0, 0, 1, 0, 0, 0]
2452	Sending hugs and encouragement your way.Clementine	[0, 0, 1, 0, 0, 0]
2453	In other words, for me they were 'doable'.	[0, 0, 1, 0, 0, 0]
2454	  I am in Peoria, Arizona and as for <PERSON>   it depends on where you wear the hat:^)	[0, 0, 1, 0, 0, 0]
2455	I'm just happy to close this chapter in my life after 1 year and 5 months.	[0, 0, 1, 0, 0, 0]
2456	I love penguins too I have a bunch of all kinds of them!	[0, 0, 1, 0, 0, 0]
2457	"!By morning, the sun will be up and shining, and all of the plants, grass, etc will be miraculously 2"" taller!!"	[0, 0, 1, 0, 0, 0]
